Team,Confederation,Qualified,FIFA Ranking,Coach,World Cup Titles
Algeria,CAF,Yes,999.0,Unknown,
Argentina,CONMEBOL,Yes,1.0,Lionel Scaloni,3.0
Australia,AFC,Yes,999.0,Unknown,
Austria,UEFA,Yes,999.0,Unknown,
Belgium,UEFA,Yes,8.0,Rudi Garcia,
Bosnia and Herzegovina,UEFA,Yes,999.0,Unknown,
Brazil,CONMEBOL,Yes,5.0,Carlo Ancelotti,5.0
Canada,CONCACAF,Yes,999.0,Unknown,
Cape Verde,CAF,Yes,999.0,Unknown,
Colombia,CONMEBOL,Yes,999.0,Unknown,
Croatia,UEFA,Yes,10.0,Zlatko Dalic,
Curacao,CONCACAF,Yes,999.0,Unknown,
Czech Republic,UEFA,Yes,999.0,Unknown,
DR Congo,CAF,Yes,999.0,Unknown,
Ecuador,CONMEBOL,Yes,999.0,Unknown,
Egypt,CAF,Yes,999.0,Unknown,
England,UEFA,Yes,4.0,Thomas Tuchel,1.0
France,UEFA,Yes,3.0,Didier Deschamps,2.0
Germany,UEFA,Yes,9.0,Julian Nagelsmann,4.0
Ghana,CAF,Yes,999.0,Unknown,
Haiti,CONCACAF,Yes,999.0,Unknown,
Iran,AFC,Yes,999.0,Unknown,
Iraq,AFC,Yes,999.0,Unknown,
Ivory Coast,CAF,Yes,999.0,Unknown,
Japan,AFC,Yes,999.0,Unknown,
Jordan,AFC,Yes,999.0,Unknown,
Mexico,CONCACAF,Yes,999.0,Unknown,
Morocco,CAF,Yes,999.0,Unknown,
Netherlands,UEFA,Yes,7.0,Ronald Koeman,
New Zealand,OFC,Yes,999.0,Unknown,
Norway,UEFA,Yes,999.0,Unknown,
Panama,CONCACAF,Yes,999.0,Unknown,
Paraguay,CONMEBOL,Yes,999.0,Unknown,
Portugal,UEFA,Yes,6.0,Roberto Martinez,
Qatar,AFC,Yes,999.0,Unknown,
Saudi Arabia,AFC,Yes,999.0,Unknown,
Scotland,UEFA,Yes,999.0,Unknown,
Senegal,CAF,Yes,999.0,Unknown,
South Africa,CAF,Yes,999.0,Unknown,
South Korea,AFC,Yes,999.0,Unknown,
Spain,UEFA,Yes,2.0,Luis de la Fuente,1.0
Sweden,UEFA,Yes,999.0,Unknown,
Switzerland,UEFA,Yes,999.0,Unknown,
Tunisia,CAF,Yes,999.0,Unknown,
Turkey,UEFA,Yes,999.0,Unknown,
United States,CONCACAF,Yes,999.0,Unknown,
Uruguay,CONMEBOL,Yes,999.0,Unknown,2.0
Uzbekistan,AFC,Yes,999.0,Unknown,
