Team,Confederation,Qualified,FIFA Ranking,Points,World Cup Titles
Algeria,CAF,Yes,,0.0,0
Argentina,CONMEBOL,Yes,3.0,1874.81,3
Australia,AFC,Yes,,0.0,0
Austria,UEFA,Yes,,0.0,0
Belgium,UEFA,Yes,9.0,1734.71,0
Bosnia and Herzegovina,UEFA,Yes,,0.0,0
Brazil,CONMEBOL,Yes,6.0,1761.16,5
Canada,CONCACAF,Yes,,0.0,0
Cape Verde,CAF,Yes,,0.0,0
Colombia,CONMEBOL,Yes,13.0,1693.09,0
Croatia,UEFA,Yes,11.0,1717.07,0
Curacao,CONCACAF,Yes,,0.0,0
Czech Republic,UEFA,Yes,,0.0,0
DR Congo,CAF,Yes,,0.0,0
Ecuador,CONMEBOL,Yes,,0.0,0
Egypt,CAF,Yes,,0.0,0
England,UEFA,Yes,4.0,1825.97,1
France,UEFA,Yes,1.0,1877.32,2
Germany,UEFA,Yes,10.0,1730.37,1
Ghana,CAF,Yes,,0.0,0
Haiti,CONCACAF,Yes,,0.0,0
Iran,AFC,Yes,,0.0,0
Iraq,AFC,Yes,,0.0,0
Ivory Coast,CAF,Yes,,0.0,0
Japan,AFC,Yes,18.0,1660.43,0
Jordan,AFC,Yes,,0.0,0
Mexico,CONCACAF,Yes,15.0,1681.03,0
Morocco,CAF,Yes,8.0,1755.87,0
Netherlands,UEFA,Yes,7.0,1757.87,0
New Zealand,OFC,Yes,,0.0,0
Norway,UEFA,Yes,,0.0,0
Panama,CONCACAF,Yes,,0.0,0
Paraguay,CONMEBOL,Yes,,0.0,0
Portugal,UEFA,Yes,5.0,1763.83,0
Qatar,AFC,Yes,,0.0,0
Saudi Arabia,AFC,Yes,,0.0,0
Scotland,UEFA,Yes,,0.0,0
Senegal,CAF,Yes,14.0,1688.99,0
South Africa,CAF,Yes,,0.0,0
South Korea,AFC,Yes,,0.0,0
Spain,UEFA,Yes,2.0,1876.4,1
Sweden,UEFA,Yes,,0.0,0
Switzerland,UEFA,Yes,19.0,1649.4,0
Tunisia,CAF,Yes,,0.0,0
Turkey,UEFA,Yes,,0.0,0
United States,CONCACAF,Yes,16.0,1673.13,0
Uruguay,CONMEBOL,Yes,17.0,1673.07,1
Uzbekistan,AFC,Yes,,0.0,0
