Country,Wins
Brazil,79
Argentina,53
Italy,46
France,41
West Germany,39
Germany,33
England,33
Spain,32
Netherlands,31
Uruguay,26
Belgium,22
Sweden,20
Portugal,18
Mexico,17
Croatia,17
Poland,17
Yugoslavia,16
Hungary,15
Soviet Union,15
Switzerland,14
Austria,12
Chile,11
Czechoslovakia,11
United States,9
Denmark,9
Colombia,9
Paraguay,8
South Korea,8
Romania,8
Costa Rica,7
Japan,7
Morocco,6
Nigeria,6
Ecuador,5
Russia,5
Ghana,5
Senegal,5
Cameroon,5
Turkey,5
Peru,5
Australia,4
Scotland,4
Bulgaria,4
Saudi Arabia,4
Northern Ireland,3
Algeria,3
Republic of Ireland,3
Tunisia,3
Ukraine,3
Iran,3
Ivory Coast,3
East Germany,2
Serbia,2
Greece,2
South Africa,2
Norway,2
North Korea,1
Wales,1
Cuba,1
Jamaica,1
Czech Republic,1
Slovenia,1
Slovakia,1
Bosnia and Herzegovina,1
