City,Stadium,Capacity,Country
"Dallas (Arlington, Texas)",AT&T Stadium‡ (Dallas Stadium),94000,United States
Mexico City,Estadio Azteca† (Mexico City Stadium),83000,Mexico
"New York/New Jersey (East Rutherford, New Jersey)",MetLife Stadium (New York New Jersey Stadium),82500,United States
Atlanta,Mercedes-Benz Stadium‡ (Atlanta Stadium),75000,United States
Kansas City,Arrowhead Stadium (Kansas City Stadium),73000,United States
Houston,NRG Stadium‡ (Houston Stadium),72000,United States
"San Francisco Bay Area (Santa Clara, California)",Levi's Stadium (San Francisco Bay Area Stadium),71000,United States
"Los Angeles (Inglewood, California)",SoFi Stadium (Los Angeles Stadium),70000,United States
Philadelphia,Lincoln Financial Field (Philadelphia Stadium),69000,United States
Seattle,Lumen Field (Seattle Stadium),69000,United States
"Boston (Foxborough, Massachusetts)",Gillette Stadium (Boston Stadium),65000,United States
"Miami (Miami Gardens, Florida)",Hard Rock Stadium (Miami Stadium),65000,United States
Vancouver,BC Place‡ (BC Place Vancouver),54000,Canada
Monterrey (Guadalupe),Estadio BBVA (Estadio Monterrey),53500,United States
Guadalajara (Zapopan),Estadio Akron (Estadio Guadalajara),48000,United States
Toronto,BMO Field (Toronto Stadium),45000,Canada
