Team,Confederation,Qualified
Algeria,CAF,Yes
Argentina,CONMEBOL,Yes
Australia,AFC,Yes
Austria,UEFA,Yes
Belgium,UEFA,Yes
Bosnia and Herzegovina,UEFA,Yes
Brazil,CONMEBOL,Yes
Canada,CONCACAF,Yes
Cape Verde,CAF,Yes
Colombia,CONMEBOL,Yes
Croatia,UEFA,Yes
Curacao,CONCACAF,Yes
Czech Republic,UEFA,Yes
DR Congo,CAF,Yes
Ecuador,CONMEBOL,Yes
Egypt,CAF,Yes
England,UEFA,Yes
France,UEFA,Yes
Germany,UEFA,Yes
Ghana,CAF,Yes
Haiti,CONCACAF,Yes
Iran,AFC,Yes
Iraq,AFC,Yes
Ivory Coast,CAF,Yes
Japan,AFC,Yes
Jordan,AFC,Yes
Mexico,CONCACAF,Yes
Morocco,CAF,Yes
Netherlands,UEFA,Yes
New Zealand,OFC,Yes
Norway,UEFA,Yes
Panama,CONCACAF,Yes
Paraguay,CONMEBOL,Yes
Portugal,UEFA,Yes
Qatar,AFC,Yes
Saudi Arabia,AFC,Yes
Scotland,UEFA,Yes
Senegal,CAF,Yes
South Africa,CAF,Yes
South Korea,AFC,Yes
Spain,UEFA,Yes
Sweden,UEFA,Yes
Switzerland,UEFA,Yes
Tunisia,CAF,Yes
Turkey,UEFA,Yes
United States,CONCACAF,Yes
Uruguay,CONMEBOL,Yes
Uzbekistan,AFC,Yes
